household_id,household_weight,household_size,number_of_vehicles,number_of_bikes,departement_id,income_class,consumption_units,commune_id,zone_fine_id
394,105.3023,1,0,0,59,0,1.0,59350,00104009
395,105.3023,1,0,0,59,0,1.0,59350,00104009
396,105.3023,1,1,0,59,0,1.0,59350,00104009
397,105.3023,1,1,0,59,0,1.0,59350,00104010
398,102.9592,2,2,0,59,0,1.5,59350,00104011
399,105.3023,1,1,0,59,0,1.0,59350,00104011
400,105.3023,1,1,0,59,0,1.0,59350,00104011
401,105.3023,1,0,0,59,0,1.0,59350,00104011
402,102.9592,2,2,2,59,0,1.5,59350,00104011
403,102.9592,2,0,0,59,0,1.5,59350,00104011
404,105.3023,1,0,0,59,0,1.0,59350,00104012
405,105.3023,1,1,0,59,0,1.0,59350,00104012
406,156.36700000000002,3,3,0,59,0,2.0,59350,00104012
407,102.9592,2,1,2,59,0,1.5,59350,00104012
408,102.9592,2,0,0,59,0,1.5,59350,00104012
410,105.3023,1,0,1,59,0,1.0,59350,00104013
411,105.3023,1,1,0,59,0,1.0,59350,00104013
412,105.3023,1,1,0,59,0,1.0,59350,00104013
413,105.3023,1,0,0,59,0,1.0,59350,00104013
414,102.9592,2,2,1,59,0,1.5,59350,00104013
415,93.68413000000001,5,2,1,59,0,2.4,59350,00104013
416,156.36700000000002,3,2,0,59,0,2.0,59350,00104013
417,102.9592,2,0,0,59,0,1.5,59350,00104013
418,102.9592,2,0,0,59,0,1.3,59350,00104014
419,105.3023,1,0,0,59,0,1.0,59350,00104015
421,75.5,1,0,0,59,0,1.0,59350,00104016
422,75.5,1,0,0,59,0,1.0,59350,00104016
423,75.5,1,0,1,59,0,1.0,59350,00104016
424,105.3023,1,1,0,59,0,1.0,59350,00104017
425,102.9592,2,0,0,59,0,1.5,59350,00104017
426,105.3023,1,0,0,59,0,1.0,59350,00104017
427,75.5,1,0,0,59,0,1.0,59350,00104017
429,161.5334,4,2,1,59,0,2.1,59350,00104017
430,105.3023,1,0,0,59,0,1.0,59350,00104018
431,105.3023,1,1,0,59,0,1.0,59350,00104018
432,102.9592,2,0,0,59,0,1.5,59350,00104018
433,102.9592,2,2,1,59,0,1.5,59350,00104018
435,102.9592,2,0,0,59,0,1.5,59350,00104018
436,105.3023,1,0,0,59,0,1.0,59350,00104018
438,80.84496,4,1,3,59,0,2.3,59350,00105001
439,115.1046,2,1,1,59,0,1.5,59350,00105002
440,113.9839,1,1,2,59,0,1.0,59350,00105003
441,113.9839,1,0,0,59,0,1.0,59350,00105003
442,113.9839,1,0,0,59,0,1.0,59350,00105003
443,113.9839,1,0,0,59,0,1.0,59350,00105003
444,113.9839,1,0,0,59,0,1.0,59350,00105003
446,121.0,1,0,0,59,0,1.0,59350,00105005
448,115.1046,2,0,0,59,0,1.5,59350,00105005
449,115.1046,2,1,0,59,0,1.5,59350,00105005
450,115.1046,2,0,0,59,0,1.5,59350,00105005
451,71.07316,6,1,6,59,0,2.9,59350,00105005
452,113.9839,1,1,0,59,0,1.0,59350,00105005
453,113.9839,1,0,0,59,0,1.0,59350,00105005
454,115.1046,2,1,4,59,0,1.5,59350,00105005
456,113.9839,1,0,1,59,0,1.0,59350,00105005
457,113.9839,1,0,0,59,0,1.0,59350,00105005
458,113.9839,1,0,1,59,0,1.0,59350,00105005
459,115.1046,2,1,2,59,0,1.5,59350,00105005
460,115.1046,2,1,2,59,0,1.5,59350,00105005
461,121.0,1,0,0,59,0,1.0,59350,00105005
462,113.9839,1,0,1,59,0,1.0,59350,00105005
463,113.9839,1,1,0,59,0,1.0,59350,00105007
464,45.500409999999995,3,0,0,59,0,1.6,59350,00105007
465,113.9839,1,1,0,59,0,1.0,59350,00105007
466,80.84496,4,3,5,59,0,2.5,59350,00105007
467,121.0,1,0,0,59,0,1.0,59350,00105007
469,113.9839,1,0,0,59,0,1.0,59350,00105007
470,71.07316,5,1,4,59,0,2.8,59350,00105007
471,113.9839,1,0,0,59,0,1.0,59350,00105007
472,113.9839,1,0,0,59,0,1.0,59350,00105007
473,121.0,1,0,0,59,0,1.0,59350,00105007
474,121.0,1,0,0,59,0,1.0,59350,00105007
475,113.9839,1,0,2,59,0,1.0,59350,00105009
476,115.1046,2,2,0,59,0,1.5,59350,00105010
477,113.9839,1,1,0,59,0,1.0,59350,00105010
478,115.1046,2,2,1,59,0,1.5,59350,00105010
479,113.9839,1,1,0,59,0,1.0,59350,00105011
480,113.9839,1,0,0,59,0,1.0,59350,00105012
481,45.500409999999995,3,0,0,59,0,2.0,59350,00105012
482,113.9839,1,1,0,59,0,1.0,59350,00105012
483,113.9839,1,1,0,59,0,1.0,59350,00105012
485,45.500409999999995,3,1,4,59,0,1.6,59350,00105012
486,80.84496,4,0,1,59,0,2.1,59350,00105012
487,113.9839,1,1,1,59,0,1.0,59350,00105012
488,71.07316,5,1,2,59,0,3.0,59350,00105012
489,113.9839,1,1,1,59,0,1.0,59350,00105012
