TP1;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T8B;T8C;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;1010;0107;01;05;1;02;51;1015;1126;00;;;;;;;;3499;5249;5249;133;0;0
4;1010;0107;01;06;1;00;51;1126;1015;02;;;;;;;;3499;5249;5249;0;133;0
4;1010;0133;01;01;1;03;33;1015;1255;05;;;;;;;;5768;8652;8652;200;333;0
4;1010;0133;01;02;1;05;33;1255;1015;03;;;;;;;;5768;8652;8652;333;200;0
4;1010;0137;01;03;1;03;33;1095;1015;05;;;;;;;;1819;2728;2728;200;333;0
4;1010;0142;01;02;1;01;21;1010;1092;05;1;1;0;0;3;2;00;1860;2751;2751;67;333;0
4;1010;0142;01;03;1;05;21;1092;1010;01;1;1;0;0;2;3;00;1860;2628;2628;333;67;0
4;1010;0142;01;04;1;01;21;1010;9624;00;1;1;0;0;3;2;00;27802;39917;15208;67;0;0
4;1010;0142;01;04;2;00;22;9624;9624;15;;;;;;;;948;1706;0;0;1000;0
4;1010;0142;01;05;1;15;22;9624;1318;00;;;;;;;;20848;29444;4203;1000;0;0
4;1010;0142;01;06;1;00;22;1318;9624;00;;;;;;;;20848;28725;4017;0;0;0
4;1010;0142;01;06;2;00;21;9624;1010;02;1;2;1;0;2;2;05;28097;40473;15232;0;133;0
4;1010;0146;01;01;1;01;32;1015;1195;02;;;;;;;;2585;3878;3878;67;133;0
4;1010;0146;01;02;1;01;32;1195;1015;02;;;;;;;;2585;3878;3878;67;133;0
4;1010;0146;01;03;1;01;32;1015;1195;02;;;;;;;;2585;3878;3878;67;133;0
4;1010;0146;01;04;1;01;32;1195;1015;02;;;;;;;;2585;3878;3878;67;133;0
4;1010;0155;02;03;1;01;33;1015;1255;05;;;;;;;;4655;6982;6982;67;333;0
4;1010;0155;02;04;1;05;33;1255;1015;02;;;;;;;;4655;6982;6982;333;133;0
4;1010;0164;01;01;1;00;21;1010;1250;00;1;1;0;0;3;2;00;5619;10502;10502;0;0;0
4;1010;0164;01;02;1;00;21;1250;1311;00;1;1;0;0;0;;00;1533;2707;2707;0;0;0
4;1010;0164;01;03;1;00;21;1311;1010;00;1;1;0;0;1;2;00;4643;8460;8460;0;0;0
4;1010;0028;01;06;1;02;31;1050;1015;05;;;;;;;;1630;2445;2445;133;333;0
4;1010;0028;01;08;1;02;33;1035;1015;00;;;;;;;;1747;2621;2621;133;0;0
4;1010;0028;01;08;2;00;33;1015;1095;02;;;;;;;;1819;2728;2728;0;133;0
4;1010;0028;01;09;1;02;33;1095;1015;05;;;;;;;;1819;2728;2728;133;333;0
4;1010;0028;02;08;1;02;33;1035;1015;00;;;;;;;;1747;2621;2621;133;0;0
4;1010;0028;02;08;2;00;33;1015;1095;02;;;;;;;;1819;2728;2728;0;133;0
4;1010;0028;02;09;1;02;33;1095;1015;05;;;;;;;;1819;2728;2728;133;333;0
4;1010;0123;01;01;1;05;33;1015;1105;05;;;;;;;;3486;5229;5229;333;333;0
4;1010;0123;01;02;1;05;33;1105;1025;10;;;;;;;;3054;4581;4581;333;667;0
4;1010;0569;01;02;1;03;31;1015;1050;03;;;;;;;;2225;3338;3338;200;200;0
4;1010;0569;01;05;1;05;31;1015;1050;02;;;;;;;;1146;1719;1719;333;133;0
4;1010;0569;01;06;1;00;22;1050;1010;00;;;;;;;;1133;1770;1770;0;0;0
4;1010;0592;02;01;1;04;51;1015;1246;05;;;;;;;;6499;9749;9749;267;333;0
4;1010;0592;02;02;1;00;22;1240;1250;07;;;;;;;;1106;2052;2052;0;467;0
4;1010;0592;02;02;2;07;33;1255;1015;05;;;;;;;;5393;8090;8090;467;333;0
4;1010;0592;02;03;1;05;33;1015;1255;00;;;;;;;;4655;6982;6982;333;0;0
4;1010;0592;02;03;2;00;31;1255;1240;05;;;;;;;;1983;2974;2974;0;333;0
4;1010;0592;02;04;1;00;22;1240;1018;05;;;;;;;;6277;11929;11929;0;333;0
4;1010;0595;03;01;1;07;22;1020;3033;01;;;;;;;;19566;24792;15082;467;67;0
4;1010;0595;03;02;1;01;22;3033;1020;07;;;;;;;;19566;25246;16006;67;467;0
4;1010;0011;01;01;1;00;21;1010;1188;00;1;2;0;1;2;2;00;673;1472;1472;0;0;0
4;1010;0011;01;02;1;00;21;1188;1010;00;1;1;0;0;1;2;00;673;1793;1793;0;0;0
4;1010;0011;01;03;1;05;33;1015;1105;05;;;;;;;;3913;5869;5869;333;333;0
4;1010;0011;01;04;1;05;33;1105;1015;05;;;;;;;;3913;5869;5869;333;333;0
4;1010;0011;01;05;1;00;21;1010;1188;00;1;1;0;0;2;2;00;673;1472;1472;0;0;0
4;1010;0011;01;06;1;00;21;1188;1010;00;1;2;0;1;1;2;00;673;1793;1793;0;0;0
4;1010;0011;02;01;1;05;33;1015;1045;01;;;;;;;;2502;3753;3753;333;67;0
4;1010;0011;02;01;2;01;31;1045;1105;05;;;;;;;;1411;2116;2116;67;333;0
4;1010;0011;02;02;1;05;22;1102;1045;01;;;;;;;;1578;2248;2248;333;67;0
4;1010;0011;02;02;2;01;33;1045;1015;05;;;;;;;;2502;3753;3753;67;333;0
4;1010;0087;01;01;1;03;33;1015;1255;03;;;;;;;;4655;6982;6982;200;200;0
4;1010;0087;01;02;1;03;33;1255;1015;03;;;;;;;;4655;6982;6982;200;200;0
4;1010;0087;02;01;1;03;33;1015;1255;03;;;;;;;;4319;6479;6479;200;200;0
4;1010;0087;02;02;1;03;33;1255;1015;03;;;;;;;;4319;6479;6479;200;200;0
4;1010;0087;02;03;1;03;33;1015;1025;07;;;;;;;;910;1366;1366;200;467;0
4;1010;0087;02;04;1;05;31;1050;1015;03;;;;;;;;1938;2907;2907;333;200;0
4;1010;0114;01;01;1;02;39;9750;8756;00;;;;;;;;5372;8058;0;133;0;0
4;1010;0114;01;01;2;00;51;8756;1015;05;;;;;;;;201881;302822;20986;0;333;0
4;1010;0005;01;01;1;05;33;1015;1255;05;;;;;;;;4319;6479;6479;333;333;0
4;1010;0005;01;01;2;05;22;1250;1251;01;;;;;;;;917;2529;2529;333;67;0
4;1010;0005;01;02;1;02;33;1255;1015;05;;;;;;;;4655;6982;6982;133;333;0
4;1010;0005;02;01;1;00;21;1010;1050;02;1;1;0;0;2;2;02;2480;6119;6119;0;133;0
4;1010;0005;02;05;1;05;21;1050;1010;00;1;1;0;0;1;2;00;2480;5270;5270;333;0;0
4;1010;0005;02;06;1;00;21;1010;1330;01;1;1;0;0;3;2;00;9662;16160;16160;0;67;0
4;1010;0005;02;07;1;01;21;1330;1050;02;1;1;0;0;2;2;03;7674;10884;10884;67;133;0
4;1010;0010;01;01;1;00;21;1010;1110;01;1;1;0;0;3;2;01;2572;5899;5899;0;67;0
