OP1;OP2;ECH;PER;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O50;O51;O52;O53;O34;O35;O36;O40A;O40B;O40C;O41A;O41B;O41C;O42A;O42B;O42C;COEO;OR1;OR2A;OR2B;OR3;OR4;OR5A;OR5B;OR5C;OR5D;O43A;O43B;O43C;OFIN
5;1010;0073;01;1;1;1;1;1;2;1;3;2;2;1;2;2;1;1;1;1;8;1;1;2;1;1;1;1;23;21;30;18;01;;30;22;33;62.43746;1;1;2;4;;0;0;0;0;11;13;05;0
5;1010;0010;01;1;1;1;1;1;1;1;6;2;2;1;1;2;1;1;1;1;6;2;1;2;2;1;1;2;03;22;29;01;27;38;03;01;25;72.49861;1;1;2;3;2;1;2;1;1;17;21;;0
5;1010;0562;02;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;2;1;1;2;2;01;22;10;10;36;;35;04;;72.49861;2;1;0;2;2;0;0;0;0;09;17;;0
5;1018;0004;01;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;8;1;1;2;1;1;2;2;24;03;34;35;37;03;31;02;04;62.43557;1;1;0;4;;0;0;0;0;29;04;02;0
5;1018;0009;01;1;1;1;1;1;3;1;1;3;3;3;3;3;1;3;3;3;6;3;3;3;3;1;3;3;28;24;03;03;26;28;04;08;29;62.43557;1;1;0;4;;0;0;0;0;29;04;17;0
5;1018;0018;01;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;8;1;1;2;2;1;2;2;03;24;34;01;03;22;04;01;;62.43557;1;1;2;4;;0;0;0;0;21;13;;0
5;1018;0033;01;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;2;4;1;1;2;2;1;1;1;36;34;27;03;02;18;02;18;38;62.43557;1;1;2;4;;0;0;0;0;23;21;02;0
5;1018;0037;01;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;6;2;2;2;1;2;1;1;24;01;05;22;04;03;25;04;21;62.43557;3;2;0;4;;0;0;0;0;11;17;04;0
5;1018;0043;01;1;1;1;1;1;1;1;6;1;1;1;1;2;1;1;1;1;6;2;1;2;2;1;1;1;24;36;22;18;34;37;17;12;15;46.63153;2;3;;4;;3;1;2;1;17;12;09;0
5;1018;0044;01;1;1;1;1;2;1;1;4;1;2;1;1;1;1;1;2;2;4;1;1;2;2;1;1;2;01;03;24;04;21;07;03;01;17;62.43746;2;1;0;3;2;0;0;0;0;03;21;12;0
