DP1;DP2;ECH;PER;NDEP;D2A;D2B;D3;D4;D5A;D5B;D6;D7;D8;D8C;D9;D11;D12;MOD;MODP;MOIP;DOIB;DIST;DISP;DFIN;D11;;
3;1010;0159;01;01;01;;1010;0740;11;;;1120;0800;0020;1;;;33;33;33;3975;5963;5963;0;6;;1
3;1010;0159;01;02;11;;1120;1200;53;;;1120;1205;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0159;01;03;53;;1120;1230;11;;;1120;1235;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0159;01;04;11;;1120;1710;01;;;1010;1730;0020;1;;;33;33;33;3975;5963;5963;0;7;;1
3;1010;0159;01;05;01;;1010;1830;51;;;1090;1900;0030;2;;;33;33;21;2978;4305;4305;0;5;;2
3;1010;0159;01;06;51;;1090;2130;01;;;1010;2140;0010;1;;;21;21;21;2645;3716;3716;0;5;;1
3;1010;0159;02;01;01;;1010;0700;13;;;9750;0910;0130;1;;;51;51;51;201881;302822;20256;0;5;;3
3;1010;0159;02;02;13;;9750;1700;54;;;9750;1730;0030;1;;;39;39;39;5372;8058;0;0;5;;3
3;1010;0159;03;01;01;;1010;0845;11;;;9620;0945;0060;3;;;51;51;51;45444;68490;19214;0;6;;1
3;1010;0159;03;02;11;;9620;1625;01;;;1010;1705;0040;3;;;51;51;51;45444;68490;19612;0;7;;1
3;1010;0159;03;03;01;;1010;1715;32;;;1051;1720;0005;1;;;11;11;11;677;808;808;0;5;;2
3;1010;0159;03;04;32;;1051;1745;01;;;1010;1750;0005;1;;;11;11;11;677;808;808;0;5;;1
3;1010;0159;03;05;01;;1010;1800;33;;;1010;1805;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0159;03;06;33;;1010;1820;01;;;1010;1825;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0159;03;07;01;;1010;1930;54;;;1030;1940;0010;1;;;11;11;11;1063;1417;1417;0;5;;3
3;1010;0159;03;08;54;;1030;2030;53;;;1020;2040;0010;1;;;11;11;11;510;1532;1532;0;5;;3
3;1010;0159;03;09;53;;1020;2200;01;;;1010;2210;0010;1;;;11;11;11;766;1453;1453;0;5;;1
3;1010;0024;01;01;01;;1010;1110;33;;;1010;1130;0020;0;;;01;01;01;1159;1333;1333;0;5;;2
3;1010;0024;01;02;33;;1010;1210;01;;;1010;1230;0020;0;;;01;01;01;1159;1333;1333;0;5;;1
3;1010;0024;01;03;01;;1010;1945;53;;;1010;1957;0012;1;;;22;22;22;458;715;715;0;5;;2
3;1010;0024;01;04;53;;1010;2100;01;;;1010;2110;0010;1;;;22;22;22;458;1000;1000;0;5;;1
3;1010;0025;01;01;01;;1010;1100;61;41;;1030;1110;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0025;01;02;63;41;1030;1200;01;;;1010;1210;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0025;01;03;01;;1010;1400;31;;;1011;1415;0015;0;;;01;01;01;870;1000;1000;0;5;;2
3;1010;0025;01;04;31;;1011;1500;01;;;1010;1520;0020;0;;;01;01;01;1159;1333;1333;0;5;;1
3;1010;0025;01;05;01;;1010;1900;64;54;;1030;1910;0010;1;;;22;22;22;1276;1521;1521;0;5;;2
3;1010;0025;01;06;62;54;1030;1915;01;;;1010;1925;0010;1;;;22;22;22;1276;1470;1470;0;5;;1
3;1010;0120;01;01;01;;1010;0730;25;;;1500;0800;0030;1;;;21;21;21;8866;11311;11311;0;8;;1
3;1010;0120;01;02;25;;1500;1155;32;;;1561;1205;0010;1;;;21;21;21;1378;2037;2037;0;5;;2
3;1010;0120;01;03;32;;1561;1215;25;;;1500;1235;0020;1;;;21;21;21;1378;1908;1908;0;5;;1
3;1010;0120;01;04;25;;1500;1700;01;;;1010;1730;0030;1;;;21;21;21;8866;19244;19244;0;9;;1
3;1010;0120;02;01;01;;1010;0845;25;;;1053;0905;0020;0;;;01;01;01;1159;1333;1333;0;8;;1
3;1010;0120;02;02;25;;1053;1050;53;;;1050;1100;0010;0;;;01;01;01;580;667;667;0;4;;4
3;1010;0120;02;03;53;;1050;1120;54;;;1050;1125;0005;0;;;01;01;01;290;333;333;0;4;;4
3;1010;0120;02;04;54;;1050;1700;51;;;1050;1705;0005;0;;;01;01;01;290;333;333;0;4;;4
3;1010;0120;02;05;51;;1050;1745;01;;;1010;1805;0020;0;;;01;01;01;1159;1333;1333;0;4;;4
3;1010;0120;02;06;01;;1010;2020;32;;;1011;2025;0005;0;;;01;01;01;290;333;333;0;5;;5
3;1010;0120;02;07;32;;1011;2040;64;01;;1050;2055;0015;0;;;01;01;01;870;1000;1000;0;5;;5
3;1010;0120;02;08;62;01;1050;2100;54;;;1050;2105;0005;0;;;01;01;01;290;333;333;0;5;;5
3;1010;0120;02;09;54;;1050;2230;53;;;1030;2235;0005;0;;;01;01;01;290;333;333;0;5;;5
3;1010;0120;02;10;53;;1030;2530;01;;;1010;2540;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0041;01;01;01;;1010;0845;32;;;1011;0852;0007;1;;;10;10;10;216;314;314;0;5;;2
3;1010;0041;01;02;32;;1011;0925;01;;;1010;0932;0007;1;;;10;10;10;216;314;314;0;5;;1
3;1010;0041;01;03;01;;1010;0935;11;;;1060;0940;0005;0;;;01;01;01;290;333;333;0;6;;1
3;1010;0041;01;04;11;;1060;1315;01;;;1010;1320;0005;0;;;01;01;01;290;333;333;0;7;;1
3;1010;0041;01;05;01;;1010;1415;11;;;1060;1420;0005;0;;;01;01;01;290;333;333;0;6;;1
3;1010;0041;01;06;11;;1060;1600;42;;;1010;1608;0008;0;;;01;01;01;464;533;533;0;5;;2
3;1010;0041;01;07;42;;1010;1618;11;;;1060;1626;0008;0;;;01;01;01;464;533;533;0;5;;1
3;1010;0041;01;08;11;;1060;1915;01;;;1010;1920;0005;0;;;01;01;01;290;333;333;0;7;;1
3;1010;0042;01;01;01;;1010;0700;11;;;9596;0750;0050;1;;;21;21;21;45238;52991;14440;0;6;;1
3;1010;0042;01;02;11;;9596;2020;61;01;;1010;2055;0035;1;;;21;21;21;44736;52216;14537;0;2;;2
3;1010;0042;01;03;63;01;1010;2055;01;;;1010;2100;0005;1;;;21;21;21;525;868;868;0;2;;2
3;1010;0066;01;01;01;;1010;0850;41;;;1060;0855;0005;0;;;01;01;01;290;333;333;0;5;;6
3;1010;0066;01;02;41;;1060;0935;13;;;1248;1010;0035;3;;;33;33;22;7747;12756;12756;0;5;;6
3;1010;0066;01;03;13;;1248;1200;53;;;1248;1202;0002;0;;;01;01;01;116;133;133;0;5;;6
3;1010;0066;01;04;53;;1248;1250;51;;;1250;1255;0005;1;;;22;22;22;1364;2353;2353;0;5;;6
3;1010;0066;01;05;51;;1250;1355;13;;;1248;1400;0005;1;;;22;22;22;1364;2304;2304;0;5;;6
