MP2,ECH,ANNE,M5,M14,M20,M21,COEM,ML2B,ML24,menage_id_constr,household_id
1020,0141,20160303,1,0,2,0.0,82.07269000000001,1.0,3,10200141,195
1020,0160,20160331,1,0,0,,82.07269000000001,3.0,4,10200160,196
1020,0002,20160302,1,0,0,,112.8955,1.0,3,10200002,197
1020,0027,20151212,1,0,1,0.0,102.896,2.0,3,10200027,198
1020,0066,20160204,0,0,0,,82.07269000000001,1.0,3,10200066,199
1020,0080,20160114,0,0,0,,82.07269000000001,,4,10200080,200
1020,0081,20160112,1,0,5,0.0,102.896,,2,10200081,201
1020,0092,20160127,0,0,0,,82.07269000000001,,3,10200092,202
1020,0101,20160119,1,0,0,,82.07269000000001,,3,10200101,203
1020,0149,20160317,0,0,0,,82.07269000000001,3.0,3,10200149,204
1020,0015,20160120,1,0,1,0.0,80.12179,1.0,3,10200015,205
1020,0034,20151210,0,0,0,,82.07269000000001,,3,10200034,206
1020,0095,20160323,0,0,0,,82.07269000000001,1.0,3,10200095,207
1020,0109,20160223,1,0,0,,102.896,2.0,3,10200109,208
1020,0120,20160304,1,0,1,0.0,112.8955,1.0,3,10200120,209
1020,0122,20160225,0,0,0,,82.07269000000001,,3,10200122,210
1020,0131,20160323,2,0,0,,102.896,2.0,3,10200131,211
1020,0143,20160303,0,0,0,,66.79166,1.0,3,10200143,212
1020,0150,20160319,1,0,2,0.0,102.896,1.0,3,10200150,213
1020,0151,20160323,0,0,0,,82.07269000000001,2.0,3,10200151,214
1020,0063,20160129,0,0,1,0.0,82.07269000000001,1.0,3,10200063,215
1023,0138,20160304,1,0,0,,102.896,,2,10230138,216
1028,0014,20160203,0,0,0,,102.896,2.0,3,10280014,217
1028,0026,20160203,0,0,1,0.0,80.12179,2.0,4,10280026,218
1028,0037,20160324,1,0,0,,82.07269000000001,2.0,3,10280037,219
1028,0085,20160227,0,0,0,,80.12179,1.0,3,10280085,220
1028,0086,20160121,2,0,2,0.0,80.12179,1.0,3,10280086,221
1028,0129,20160223,2,0,0,,80.12179,1.0,3,10280129,222
1028,0137,20160227,1,0,3,0.0,80.12179,2.0,1,10280137,223
1028,0153,20160324,1,0,0,,102.896,1.0,4,10280153,224
1030,0132,20160324,1,0,2,0.0,110.3007,1.0,3,10300132,225
1030,0027,20151203,0,0,0,,161.6591,1.0,4,10300027,226
1030,0095,20160115,1,0,3,0.0,82.15898,1.0,3,10300095,227
1030,0155,20160303,2,0,1,0.0,110.3007,1.0,3,10300155,228
1030,0514,20160202,1,0,2,0.0,110.3007,2.0,3,10300514,229
1030,0526,20160202,1,0,0,,161.6591,1.0,3,10300526,230
1030,0585,20160316,1,0,0,,161.6591,1.0,3,10300585,231
1030,0631,20160319,1,0,1,0.0,110.3007,1.0,3,10300631,232
1030,0641,20160323,0,0,0,,161.6591,1.0,3,10300641,233
1030,0647,20160304,1,0,1,0.0,110.3007,1.0,3,10300647,234
1030,0020,20160114,1,0,0,,161.6591,1.0,3,10300020,235
1030,0079,20151219,1,0,0,,161.6591,1.0,3,10300079,236
1030,0033,20160108,1,0,0,,82.15898,2.0,3,10300033,237
1030,0040,20151219,0,0,0,,82.15898,1.0,3,10300040,238
1030,0047,20160120,1,0,0,,161.6591,2.0,3,10300047,239
1030,0133,20160303,0,0,1,0.0,161.6591,1.0,3,10300133,240
1030,0072,20160130,0,0,1,0.0,161.6591,1.0,3,10300072,241
1030,0004,20151212,1,0,0,,82.15898,1.0,3,10300004,242
1030,0024,20151205,1,0,2,0.0,110.3007,,4,10300024,243
1030,0032,20160112,1,0,0,,161.6591,1.0,3,10300032,244
1030,0055,20151212,0,0,1,0.0,161.6591,1.0,3,10300055,245
1030,0058,20160112,1,0,0,,110.3007,1.0,3,10300058,246
1030,0063,20151218,0,0,0,,161.6591,2.0,3,10300063,247
1030,0065,20160119,0,0,1,0.0,161.6591,,3,10300065,248
1030,0070,20160204,0,0,0,,161.6591,2.0,4,10300070,249
1030,0097,20160203,1,0,0,,161.6591,1.0,2,10300097,250
1030,0113,20160203,0,0,0,,161.6591,1.0,3,10300113,251
1030,0148,20160301,1,0,0,,161.6591,1.0,3,10300148,252
1030,0013,20160301,1,0,0,,110.3007,2.0,3,10300013,253
1030,0051,20151208,1,0,0,,161.6591,1.0,3,10300051,254
