MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1010;0039;20160223;4;3;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;2013;1;62041;00;00;3;1;0
1;1010;0045;20160114;4;3;2;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2014;1;62160;;;3;3;0
1;1010;0054;20151219;4;3;2;;1;1;1;1;2011;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2011;1;62560;;;3;5;0
1;1010;0060;20160115;3;3;1;3;1;1;1;3;2004;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;59650;;;3;4;0
1;1010;0076;20160106;4;3;2;;1;2;1;1;2010;05;1;1;3;1;3;1997;06;1;1;2;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2015;1;62870;;;3;2;0
1;1010;0081;20160105;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;41.84241;2015;1;59350;00;00;3;1;0
1;1010;0084;20160202;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;2014;2;59350;00;00;3;1;0
1;1010;0086;20160109;4;1;2;;1;1;1;3;2014;08;2;1;3;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2015;2;59350;;;3;5;0
1;1010;0106;20160202;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2007;1;14118;;;3;1;0
1;1010;0107;20160205;3;1;1;4;1;1;1;1;1999;06;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;53.82657;2007;3;59350;00;00;4;4;0
